discount_at_least,checkpoints,games,avg_hist_win_rate,avg_price,actual_win_rate,leader_was_pregame_underdog,avg_leader_pregame_price
2%,7088,2455,0.7632949388912319,0.6951840424636639,0.7014672686230248,0.7818848758465011,0.4400522016026594
3%,5779,2187,0.7502753195614992,0.6723914475682558,0.6765876449212667,0.8233258349195363,0.43180272360954325
5%,3921,1700,0.7325204211173126,0.6365827718496812,0.6432032644733486,0.8951798010711554,0.41636908066197403
8%,2113,1010,0.7142326725433564,0.5909868453782536,0.6095598674869853,0.9659252247988642,0.39372817071630384
10%,1387,696,0.7051388231166021,0.5642941814774333,0.5746214852198991,0.9819754866618601,0.378074391750757
