band,games,avg_price,win_rate,win_minus_price,roi_before_costs,roi_after_fees,ci95,actual_proxy_pnl_usd,capital_usd
50%-55%,3003,0.5229566528845987,0.5054945054945055,-0.01746214739009322,-0.032977399861008005,-0.05810376101038666,-0.107..-0.012,-7205.051969462702,124003.1943573278
55%-60%,2853,0.5707941111526288,0.5538030143708377,-0.016991096781791115,-0.02992594550950158,-0.054966990928155775,-0.099..-0.011,-6468.825323697511,117685.63667879408
60%-65%,2256,0.6206696977299867,0.6132535460992907,-0.007416151630695977,-0.011784005593485969,-0.02667529758364774,-0.070..+0.018,-2571.8040208142793,96411.44631094292
65%-70%,1474,0.6717583858615672,0.671302578018996,-0.0004558078425712653,-0.0015143297140457477,-0.01926233992818624,-0.067..+0.027,-1247.6550487593593,64771.728326405864
70%-75%,1137,0.7202269555623131,0.7260334212840809,0.005806465721767795,0.007749140592904552,-0.004208113190120188,-0.054..+0.044,-210.19614170024306,49950.21098618301
75%-80%,870,0.7693725008679885,0.7528735632183908,-0.016498937649597645,-0.021219846302512873,-0.03308274046234053,-0.083..+0.014,-1342.315973517633,40574.50969171213
80%-85%,759,0.820102412152108,0.80566534914361,-0.014437063008498008,-0.017172571123059928,-0.006565116606867032,-0.052..+0.037,-234.70605472583372,35750.4776808281
85%-90%,543,0.870918815876059,0.8802946593001841,0.009375843424125119,0.010899981086894897,0.01086585255908695,-0.029..+0.051,292.8742488482053,26953.637301407973
90%-100%,451,0.9308728668398005,0.9467849223946785,0.015912055554877957,0.017413650324746056,0.019107778728758434,-0.011..+0.043,413.93691692918026,21663.267238183926
