sport,bucket,fills,usd,capital_usd,avg_price,won_pct,fills_won_pct,edge_pts,roi_after_fee,ci_lo,ci_hi
tennis,"[0.5, 0.55)",612378,64205168.0,65290172.0,0.522049069404602,0.5195891857147217,0.518042802810669,-0.002459883689880371,-0.020917656455620742,-0.05741938672107694,0.011913037408716465
tennis,"[0.55, 0.6)",584236,67165072.0,68180200.0,0.5726947784423828,0.5563799142837524,0.5659887194633484,-0.01631486415863037,-0.04297255014660684,-0.07978062874758607,-0.0065665275600314725
tennis,"[0.6, 0.65)",677768,74836824.0,75816384.0,0.6243918538093567,0.625417947769165,0.6197223663330078,0.0010260939598083496,-0.011713051388366822,-0.047503728044639454,0.022472188533305643
tennis,"[0.65, 0.7)",538457,65027164.0,65734520.0,0.6785610914230347,0.6680939793586731,0.6739944219589233,-0.010467112064361572,-0.02588891170216405,-0.05585250478221366,0.00500294386690527
tennis,"[0.7, 0.75)",407485,54169160.0,54670708.0,0.7252728939056396,0.7269052267074585,0.7154201865196228,0.0016323328018188477,-0.006937797550585056,-0.03361371018163448,0.01895678979092702
tennis,"[0.75, 0.8)",464471,63635176.0,64127888.0,0.7726441621780396,0.7606396675109863,0.7618085741996765,-0.012004494667053223,-0.02292712311924175,-0.05900431384685861,0.007352723413632642
tennis,"[0.8, 0.85)",449638,63909572.0,64294048.0,0.8222044706344604,0.831241250038147,0.8120021224021912,0.009036779403686523,0.005090468749796573,-0.013649593472313452,0.023990778289552598
tennis,"[0.85, 0.9)",459981,84232656.0,84579752.0,0.8761810660362244,0.875175416469574,0.8723534345626831,-0.0010056495666503906,-0.00512651987154903,-0.022933163814707114,0.012580434541942529
tennis,"[0.9, 0.925)",234887,32996992.0,33091284.0,0.9143102765083313,0.9054617881774902,0.9061335921287537,-0.008848488330841064,-0.012486701994928698,-0.030738967117393587,0.003303983642841128
tennis,"[0.925, 0.95)",235804,49601732.0,49700552.0,0.9396296143531799,0.9296458959579468,0.9319434762001038,-0.009983718395233154,-0.012619528415969136,-0.028690229927398985,0.001982495979284689
tennis,"[0.95, 0.96)",65210,17180888.0,17203888.0,0.9586086869239807,0.9521849155426025,0.9561723470687866,-0.006423771381378174,-0.008021784743232396,-0.02603824721820037,0.007731963672868193
tennis,"[0.96, 0.97)",28603,9374610.0,9385182.0,0.9664142727851868,0.9538598656654358,0.9680802822113037,-0.012554407119750977,-0.01408372123563262,-0.041246704957685294,0.006845776026119494
tennis,"[0.97, 0.98)",62614,23606684.0,23627708.0,0.9737104177474976,0.9722749590873718,0.9708691239356995,-0.0014354586601257324,-0.002369553719941108,-0.016377221615293393,0.007554022118527268
tennis,"[0.98, 0.99)",63866,24257222.0,24270536.0,0.983201801776886,0.9770670533180237,0.9772335886955261,-0.006134748458862305,-0.006790873752747426,-0.021070199537699858,0.003485449076680157
