strategy,fee,slippage,bets,win_rate,avg_price,roi_per_$,roi_ci95
bet favorite,no fee,0.0,4650,0.561505376344086,0.573861162370172,-0.021243117178588504,-0.048 to +0.003
bet favorite,no fee,0.01,4650,0.561505376344086,0.573861162370172,-0.03815957289797049,-0.064 to -0.014
bet favorite,5% sports fee,0.0,4650,0.561505376344086,0.573861162370172,-0.041662860083829606,-0.068 to -0.018
bet favorite,5% sports fee,0.01,4650,0.561505376344086,0.573861162370172,-0.057760939679801206,-0.083 to -0.034
bet underdog,no fee,0.0,4650,0.43849462365591396,0.42613883762982796,0.029753051788867453,-0.004 to +0.065
bet underdog,no fee,0.01,4650,0.43849462365591396,0.42613883762982796,0.005594452450306183,-0.027 to +0.041
bet underdog,5% sports fee,0.0,4650,0.43849462365591396,0.42613883762982796,0.0010224755097354953,-0.032 to +0.036
bet underdog,5% sports fee,0.01,4650,0.43849462365591396,0.42613883762982796,-0.021975836610613534,-0.054 to +0.012
bet home,no fee,0.0,4650,0.5356989247311827,0.5320282234620861,0.01119807682226868,-0.017 to +0.038
bet home,no fee,0.01,4650,0.5356989247311827,0.5320282234620861,-0.008062285024976122,-0.035 to +0.019
bet home,5% sports fee,0.0,4650,0.5356989247311827,0.5320282234620861,-0.012012845630616664,-0.039 to +0.014
bet home,5% sports fee,0.01,4650,0.5356989247311827,0.5320282234620861,-0.03034384825256347,-0.057 to -0.004
bet away,no fee,0.0,4650,0.4643010752688172,0.46797177653791394,-0.0026881422119897237,-0.034 to +0.029
bet away,no fee,0.01,4650,0.4643010752688172,0.46797177653791394,-0.02450283542268819,-0.055 to +0.007
bet away,5% sports fee,0.0,4650,0.4643010752688172,0.46797177653791394,-0.028627538943477443,-0.059 to +0.002
bet away,5% sports fee,0.01,4650,0.4643010752688172,0.46797177653791394,-0.04939292803785127,-0.079 to -0.019
