month,rule,delay,trades,pnl_usd,capital_usd,in_play_share,scope
2025-07,z,0,2433,-2297.9963834736436,49515.92211648982,0.7262638717632552,all
2025-07,z,1,2434,-2272.177382891447,49568.10311590762,0.7263763352506163,all
2025-07,z,5,2674,-2643.2473783455353,48544.92868692321,0.7337322363500374,all
2025-07,z,30,1934,-1971.6459205799106,50421.15657219365,0.7595656670113754,all
2025-07,whales,0,1932,2305.767164134833,49346.85146318367,0.5600414078674948,all
2025-07,whales,1,1933,2294.6560547165777,49346.851463183666,0.5597516813243663,all
2025-07,whales,5,2040,2183.512974238674,49234.758253857886,0.5696078431372549,all
2025-07,whales,30,1668,2670.861124269916,49469.72741403962,0.5851318944844125,all
2025-07,random,0,441,-702.8533608984278,13785.89401877761,0.8707482993197279,all
2025-07,random,1,443,-706.8619862838057,13785.89401877761,0.8690744920993227,all
2025-07,random,5,434,3900.4881814991923,13785.541292343314,0.868663594470046,all
2025-07,random,30,424,-245.30081495533554,13309.456852997613,0.8702830188679245,all
2025-08,z,0,1418,1814.5758085369216,35766.82233894496,0.8843441466854725,all
2025-08,z,1,1419,1814.5708086012946,35766.8273388806,0.8844256518675123,all
2025-08,z,5,1416,1750.564583038951,36116.42647269068,0.8848870056497176,all
2025-08,z,30,1252,495.80229234911866,36495.590128532436,0.8801916932907349,all
2025-08,whales,0,1801,1396.6065685109852,61679.86576001116,0.6418656302054414,all
2025-08,whales,1,1795,1220.9554445416281,61692.915760082695,0.6401114206128133,all
2025-08,whales,5,1823,251.31206930350766,61807.263384846374,0.6417992320351069,all
2025-08,whales,30,1825,1620.2211689659496,61538.53175198609,0.6493150684931507,all
2025-08,random,0,424,734.9593001984481,17131.105165283872,0.6202830188679245,all
2025-08,random,1,424,734.9593001984481,17131.105165283872,0.6202830188679245,all
2025-08,random,5,427,1027.0296263541063,17294.12665323945,0.6276346604215457,all
2025-08,random,30,418,2066.492088281629,16993.484811380178,0.6267942583732058,all
2025-09,z,0,1289,65.71759620526439,43506.257581315134,0.8805275407292474,all
2025-09,z,1,1291,85.4828876590667,43544.16757787524,0.8799380325329202,all
2025-09,z,5,1329,-296.67643042689883,43077.64891856877,0.8796087283671934,all
2025-09,z,30,1239,1196.762038131704,44077.180335081866,0.8684422921711057,all
2025-09,whales,0,1694,1083.9082695915563,62109.441945311555,0.4881936245572609,all
2025-09,whales,1,1696,1089.9082698299756,62153.44194507314,0.4876179245283019,all
2025-09,whales,5,1684,1068.6546718169639,61872.83974638003,0.48931116389548696,all
2025-09,whales,30,1567,1971.565154575238,62068.38942230346,0.4901084875558392,all
2025-09,random,0,474,-2019.9479324109016,19498.47536059322,0.4430379746835443,all
2025-09,random,1,475,-2039.0971281325546,19517.62455631487,0.4442105263157895,all
2025-09,random,5,454,-2822.6123810165495,19772.276391734442,0.4581497797356828,all
2025-09,random,30,448,-1756.419246450582,18874.257658645714,0.45535714285714285,all
2025-10,z,0,1221,1302.631336723654,48161.771679567755,0.6912366912366913,all
2025-10,z,1,1223,1321.6091122973844,48161.771679567755,0.6901062959934587,all
2025-10,z,5,1249,2416.1087888220254,47544.855320004644,0.6853482786228983,all
2025-10,z,30,1304,2533.8033750985824,45980.11506049354,0.7108895705521472,all
2025-10,whales,0,2353,941.645531240034,73277.75523161424,0.18189545261368467,all
2025-10,whales,1,2356,1162.2520836693784,73277.75523161422,0.18166383701188454,all
2025-10,whales,5,2404,1149.4466827414003,73067.16541325473,0.19051580698835274,all
2025-10,whales,30,2375,-832.5102713678316,73002.54414027966,0.19873684210526316,all
2025-10,random,0,2029,-2563.708951079088,53792.81642977828,0.24297683587974372,all
2025-10,random,1,2033,-2508.62371452062,53792.81642977828,0.24249877029021152,all
2025-10,random,5,2023,-2533.785627136747,53365.77613492377,0.24270884824518044,all
2025-10,random,30,2038,-2604.7570193860456,53101.26101756666,0.2522080471050049,all
2025-11,z,0,2810,-1521.3575366892824,76039.85599361011,0.8765124555160142,all
2025-11,z,1,2803,-1434.0500544433162,76059.85599038508,0.8751337852301107,all
2025-11,z,5,2929,-2404.0969170289577,74831.348324727,0.8798224650051212,all
2025-11,z,30,2821,-1869.105268576268,75679.35977099737,0.8780574264445232,all
2025-11,whales,0,4816,872.3122161305446,103859.26456863737,0.2900747508305648,all
2025-11,whales,1,4819,847.3937073227698,103859.26456863739,0.2898941689147126,all
2025-11,whales,5,5045,683.239044618861,103940.88596295922,0.28662041625371654,all
2025-11,whales,30,4660,365.899823705312,103777.8550908215,0.29871244635193134,all
2025-11,random,0,918,842.2204209642641,28472.643617528687,0.46187363834422657,all
2025-11,random,1,920,773.1854178995968,28541.678620593353,0.4608695652173913,all
2025-11,random,5,877,-1039.6453443749442,29914.807388565765,0.4618015963511973,all
2025-11,random,30,835,602.8906930318703,29248.771192192562,0.4682634730538922,all
2025-12,z,0,2234,485.6017964326659,60089.887069346434,0.8178155774395702,all
2025-12,z,1,2235,301.55749639008405,60089.887069346434,0.8174496644295302,all
2025-12,z,5,2264,-1325.063299388751,58832.132382416035,0.8228798586572438,all
2025-12,z,30,2233,1085.6794608113282,59208.24978163489,0.8181818181818182,all
2025-12,whales,0,6731,7915.399767802526,113863.28052494509,0.08824840291190017,all
2025-12,whales,1,6708,7546.58178395522,113863.28052494509,0.08870005963029219,all
2025-12,whales,5,6384,5310.489407046306,113674.98918344997,0.09837092731829573,all
2025-12,whales,30,6020,6080.492217998409,113634.1192508532,0.11993355481727574,all
2025-12,random,0,1273,-97.91818779350075,36693.997646137315,0.6347211311861743,all
2025-12,random,1,1274,-97.94118749738504,36694.0206458412,0.6350078492935636,all
2025-12,random,5,1289,756.8816344040814,37272.322948965346,0.6408068269976727,all
2025-12,random,30,1271,801.5773330102784,36870.90553416779,0.6349331235247836,all
2026-01,z,0,2609,-2040.1036092155819,56782.21003639762,0.7750095822154082,all
2026-01,z,1,2605,-2113.171236282934,56878.21563901924,0.7738963531669866,all
2026-01,z,5,2857,-1806.1025858523221,53822.25723942134,0.7913895694784739,all
2026-01,z,30,2699,-2355.079602974304,55806.63006872042,0.7865876250463134,all
2026-01,whales,0,14167,-4807.948447444414,201952.32003661085,0.2765581986306205,all
2026-01,whales,1,14155,-4814.022079941689,201952.32003661082,0.27672200635817734,all
2026-01,whales,5,13668,-3470.292037455837,201921.99655776707,0.3062628036289142,all
2026-01,whales,30,11889,-1393.3446337676103,201555.56872488052,0.31844562200353266,all
2026-01,random,0,3680,1319.296636945357,89010.43899379257,0.11739130434782609,all
2026-01,random,1,3677,1337.6251490284708,89013.2389938045,0.11748708186021213,all
2026-01,random,5,3810,722.5736759402357,88230.06520983219,0.1115485564304462,all
2026-01,random,30,3754,245.72353636269304,87017.16844696092,0.1121470431539691,all
2026-02,z,0,2039,924.6561367487159,44663.63108904736,0.8523786169691026,all
2026-02,z,1,2039,924.6561367487159,44663.63108904736,0.8523786169691026,all
2026-02,z,5,2119,296.3157087210477,42374.346743777525,0.8532326569136385,all
2026-02,z,30,1982,-3524.0165061862135,45228.94095591003,0.8506559031281534,all
2026-02,whales,0,17759,-1280.510729756774,250384.44038274806,0.37209302325581395,all
2026-02,whales,1,17766,-1353.3535710596918,250384.44038274806,0.37194641449960597,all
