inn,lead,signals,n,unfilled,partial,avg_price,actual_win_rate,capital_usd,pnl_usd,roi_after_fees_1c,ci95
1,1,178,151,27,130,0.46149912291523176,0.423841059602649,3616.9978525268343,-1140.5694733298874,-0.31533595535122744,-0.573..-0.018
1,2,65,57,8,43,0.5571679934614034,0.5964912280701754,1852.4460452722255,7.566859589731649,0.004084793513443301,-0.356..+0.361
1,3,33,31,2,28,0.662020975116129,0.7741935483870968,791.4353981379755,90.35805911890085,0.11416984801474372,-0.326..+0.455
1,4,9,9,0,7,0.7658094675777778,0.6666666666666666,281.3294469193443,-50.70402481308695,-0.1802300660962218,-0.809..+0.292
2,1,529,460,69,371,0.5731189850204349,0.6021739130434782,14054.683859468303,873.7690493228895,0.06216924251442712,-0.063..+0.190
2,2,200,176,24,146,0.6820701664534092,0.6988636363636364,5580.43911668609,-60.22532748876182,-0.010792220151400269,-0.183..+0.148
2,3,107,94,13,70,0.7634570130425532,0.7872340425531915,3540.6961488211778,65.93353567241022,0.018621630578032462,-0.150..+0.169
2,4,24,23,1,16,0.8338115774260868,0.8695652173913043,940.9933202813768,46.93738065407172,0.04988067358441658,-0.228..+0.225
2,5,5,3,2,3,0.8566666644666667,0.6666666666666666,29.09074125966574,0.29949674033425655,0.010295259844392767,+nan..+nan
3,1,310,259,51,207,0.5899347630490347,0.5405405405405406,8158.657581170892,-119.76809505200936,-0.0146798776465896,-0.184..+0.154
3,2,163,139,24,118,0.7140456850971223,0.7338129496402878,4190.782626541005,324.59079091487826,0.07745350208793567,-0.088..+0.222
3,3,42,37,5,30,0.7799819097243244,0.7837837837837838,1056.5122923158967,105.684970938868,0.1000319368809277,-0.185..+0.292
3,4,20,18,2,12,0.861666655738889,0.6666666666666666,772.7984826404092,-172.83484006561036,-0.22364800649593422,-0.604..+0.125
3,5,3,2,1,0,0.885,1.0,200.0,25.849441500641106,0.12924720750320554,+nan..+nan
4,1,238,210,28,167,0.6003704395871429,0.5857142857142857,6638.693280769313,-620.8997475202927,-0.0935274038520335,-0.284..+0.079
4,2,115,94,21,75,0.7333744861234041,0.7446808510638298,3398.7922029960228,-49.89444313252034,-0.014680051074772552,-0.211..+0.165
4,3,59,55,4,47,0.8434213984563635,0.7454545454545455,1864.17800359911,-482.8728802552074,-0.2590272384519825,-0.495..-0.035
4,4,15,13,2,9,0.8888393803615385,0.9230769230769231,547.0152178261916,65.13781902362322,0.11907862322821171,+0.069..+0.158
4,5,5,5,0,4,0.9279999999999999,1.0,250.496503,18.80504546864595,0.07507108978940896,+0.058..+0.114
5,1,227,190,37,155,0.6411786010747369,0.6578947368421053,5831.873974790576,257.28088054979344,0.044116330644650543,-0.125..+0.199
5,2,87,77,10,58,0.78491928152987,0.8051948051948052,2890.451078140396,163.7327476395511,0.0566460885215502,-0.116..+0.208
5,3,32,30,2,21,0.8739469096533331,0.9,1208.8467467691628,36.148205245401336,0.029903050442095513,-0.167..+0.166
5,4,22,17,5,12,0.9252719246470589,1.0,714.0654930791054,62.49834002754324,0.08752466073951506,+0.062..+0.125
5,5,11,10,1,8,0.9627168742700001,0.8,325.57876119311265,-36.60018461151506,-0.11241576224871178,-0.540..+0.040
6,1,131,108,23,81,0.6833070509916667,0.6203703703703703,4276.572751834941,-316.5441379601613,-0.07401818145718257,-0.277..+0.120
6,2,71,67,4,52,0.8076811362373134,0.8955223880597015,2459.466496233262,269.4550788523776,0.10955834497646343,-0.034..+0.236
6,3,31,25,6,16,0.883063335452,0.96,1233.3185873717919,96.63839394735545,0.07835639139542391,-0.036..+0.145
6,4,11,7,4,5,0.9083299433142856,1.0,298.45102663264646,34.276248114828306,0.11484714427542517,+0.085..+0.130
6,5,13,11,2,9,0.9735454492636362,0.9090909090909091,255.73417913627378,-1.1823315767718006,-0.004623283366990879,-0.150..+0.032
7,1,110,99,11,76,0.7459784051101009,0.7777777777777778,3386.817448471678,450.8833051297564,0.1331289070018286,-0.037..+0.287
7,2,54,50,4,39,0.8644441011779999,0.9,1897.7353890843326,218.12567999973248,0.11493998649884446,+0.015..+0.184
7,3,35,30,5,22,0.9279332933200001,0.9666666666666667,1258.033860212062,91.51213747365465,0.07274218951326858,+0.030..+0.106
7,4,14,11,3,10,0.9548905669272727,0.9090909090909091,335.47471742579125,-84.08186042579123,-0.2506354609103757,-0.723..+0.094
7,5,14,7,7,6,0.9675714274571429,1.0,165.6481815507744,6.121162936107984,0.03695279283359792,+0.019..+0.055
8,1,85,77,8,56,0.8005842881610388,0.8831168831168831,3019.6110057382753,380.25278021734283,0.1259277368822457,-0.009..+0.235
8,2,54,43,11,35,0.9098525056558139,0.8837209302325582,1544.7954644346648,5.555433294401576,0.0035962257931891643,-0.164..+0.102
8,3,30,28,2,18,0.9657762975285715,1.0,1501.005836010399,57.85983056919565,0.03854737215611652,+0.026..+0.053
