side,threshold,sport,period,signals,bets,avg_price,won_pct,edge_pts,roi,ci_lo,ci_hi,pnl_usd,in_play_share
favorite >= 60%,0.6,baseball,all,3384,3320,0.6656154377991894,0.6605421900749207,-0.005073247724268759,-0.007699158758920373,-0.046601294010501865,0.03071889893393764,-805.3884752086476,0.813855421686747
favorite >= 60%,0.6,mma_boxing,dev,282,249,0.6961912165683914,0.6887550354003906,-0.007436181168000822,0.014255085363342782,-0.10557148814931036,0.12103165429510164,131.20748254614483,0.8353413654618473
favorite >= 60%,0.6,mma_boxing,holdout,114,110,0.7145300507545471,0.7409090995788574,0.026379048824310303,0.07318449246800163,-0.07155151283770925,0.20478130950087037,338.0943484988059,0.8454545454545455
favorite >= 60%,0.6,mma_boxing,all,396,359,0.7018103579624781,0.7047353982925415,0.0029250403300633554,0.033948309278579766,-0.05592688002030602,0.12043343646092686,469.30183104495075,0.8384401114206128
favorite >= 60%,0.6,hockey,dev,1524,1446,0.6573875517807231,0.6659750938415527,0.008587542060829678,-0.011727536670618073,-0.07085029247922399,0.04950115317538601,-501.73468151637314,0.6376210235131397
favorite >= 60%,0.6,hockey,all,1524,1446,0.6573875517807231,0.6659750938415527,0.008587542060829678,-0.011727536670618073,-0.07085029247922399,0.04950115317538601,-501.73468151637314,0.6376210235131397
favorite >= 60%,0.6,other,dev,87,70,0.7367244230849402,0.8571428656578064,0.12041844257286616,0.19812951305476176,0.024880291554496836,0.34438581596226653,482.058885198138,0.5571428571428572
favorite >= 60%,0.6,other,all,110,93,0.7504344728364739,0.8279569745063782,0.07752250166990426,0.1012835099958063,-0.06672642184611108,0.2554550752444804,334.13765125699496,0.6666666666666666
favorite >= 60%,0.6,ALL,dev,17755,16804,0.7165742686669675,0.7158414721488953,-0.0007327965180722318,-0.010050647239776757,-0.024207868198210074,0.004530993490756662,-5759.565713026017,0.6571649607236373
favorite >= 60%,0.6,ALL,holdout,7036,6739,0.7214460535291961,0.719023585319519,-0.0024224682096770644,-0.026911295811875152,-0.049040880623725,-0.005241280222431648,-5926.728247846586,0.7921056536578127
favorite >= 60%,0.6,ALL,all,24791,23543,0.7179687790601442,0.7167523503303528,-0.0012164287297914411,-0.014731497853574133,-0.02724311610047901,-0.0030940728311000887,-11686.293960872605,0.6957906808817907
underdog <= 40%,0.6,tennis,dev,3495,3427,0.25171768154343194,0.2365042269229889,-0.015213454620443045,-0.06362183758954018,-0.1898959373475473,0.08955722227572716,-4057.4432247538543,0.8628538079953312
underdog <= 40%,0.6,tennis,holdout,2604,2550,0.2589988904783283,0.2584313750267029,-0.0005675154516254222,-0.0661398134672033,-0.18608954427425242,0.05127175061515316,-3792.5243386612974,0.875686274509804
underdog <= 40%,0.6,tennis,all,6099,5977,0.25482410329079447,0.24585913121700287,-0.0089649720737916,-0.06481395110283393,-0.15619567839631227,0.03285749302585246,-7849.9675634151545,0.8683285929396019
underdog <= 40%,0.6,esports,dev,2684,2579,0.27980546244133386,0.2648313343524933,-0.014974128088840577,-0.03911393035845796,-0.1527603473045028,0.0965943910971202,-2408.6507450902004,0.6917409848778596
underdog <= 40%,0.6,esports,holdout,1356,1322,0.29096900087512845,0.2885779142379761,-0.002391086637152373,-0.05333151971139171,-0.18794239306482016,0.09064096081469236,-1716.3673734313268,0.68910741301059
underdog <= 40%,0.6,esports,all,4040,3901,0.283588645678831,0.2728787362575531,-0.010709909421277919,-0.043993921990963525,-0.13719185038475443,0.053963588048761585,-4125.018118521528,0.6908485003845168
underdog <= 40%,0.6,basketball,dev,2683,2544,0.28438894086070404,0.28026729822158813,-0.004121642639115908,0.008791369701734287,-0.09568153482802509,0.1079244052468366,622.9564877008654,0.46776729559748426
underdog <= 40%,0.6,basketball,holdout,158,152,0.2566441595309267,0.25,-0.006644159530926674,0.08470000013981054,-0.4852711835136769,0.8433923251043148,297.0347614791933,0.8552631578947368
underdog <= 40%,0.6,basketball,all,2841,2696,0.2828246950290549,0.2785608172416687,-0.004263877787386183,0.012370976304335757,-0.08662588507668387,0.11408026274113268,919.9912491800585,0.4896142433234421
underdog <= 40%,0.6,american_football,dev,800,679,0.2960133129346427,0.30706921219825745,0.011055899263614721,-0.051513243645358156,-0.21327074269666527,0.11205661457940706,-1267.6276212453222,0.48159057437407954
underdog <= 40%,0.6,american_football,holdout,105,95,0.2778813998165883,0.2789473831653595,0.0010659833487711712,0.6006791493639676,-0.6519150632231202,2.5035668748745117,1386.6719541747045,0.8105263157894737
underdog <= 40%,0.6,american_football,all,905,774,0.2937878197224784,0.30361756682395935,0.009829747101480935,0.004422758714194935,-0.19282929100024432,0.22792809009470874,119.04433292938211,0.5219638242894057
underdog <= 40%,0.6,soccer,dev,3698,3373,0.255644889454129,0.24192114174365997,-0.013723747710469025,-0.017261734819110815,-0.1271723178798273,0.0951839540065143,-1009.7673065314544,0.6116217017491847
underdog <= 40%,0.6,soccer,holdout,1668,1528,0.25232224718154667,0.24672774970531464,-0.00559449747623203,0.016676303911594005,-0.12909113043097106,0.16891162845484742,517.6883199236539,0.7729057591623036
underdog <= 40%,0.6,soccer,all,5366,4901,0.25460897894759854,0.24341970682144165,-0.01118927212615689,-0.005495584636139408,-0.09192447918230838,0.08558457054626918,-492.0789866078003,0.6619057335237707
underdog <= 40%,0.6,cricket,dev,273,270,0.2486668251269428,0.27407407760620117,0.025407252479258374,0.2603149839398661,-0.1511523747224195,0.7070081119229669,1208.3724869083587,0.8481481481481481
underdog <= 40%,0.6,cricket,holdout,116,115,0.2194509871304035,0.17826086282730103,-0.04119012430310248,-0.34286873431437304,-0.7486608074300152,0.0929547204475776,-651.8830088948962,0.9652173913043478
underdog <= 40%,0.6,cricket,all,389,385,0.23994001637472978,0.2454545497894287,0.00551453341469893,0.0850482080574365,-0.22365084691882411,0.4260868081295359,556.4894780134621,0.8831168831168831
underdog <= 40%,0.6,baseball,dev,2433,2385,0.3279510294835999,0.33836477994918823,0.010413750465588345,0.06581184936081395,-0.05472465967771339,0.1941225054435012,3843.2484956604435,0.8360587002096436
underdog <= 40%,0.6,baseball,holdout,972,958,0.3341773345254484,0.31315240263938904,-0.02102493188605936,0.037142452049269394,-0.19086194645348267,0.3257936277715381,711.1726593086557,0.872651356993737
underdog <= 40%,0.6,baseball,all,3405,3343,0.3297352951821015,0.3311396837234497,0.0014043885413482227,0.05873286370007323,-0.05021518985147035,0.17625854900300986,4554.4211549691,0.8465450194436135
underdog <= 40%,0.6,mma_boxing,dev,285,258,0.30489532669009856,0.2868216931819916,-0.01807363350810698,0.11960998210089321,-0.1864510375972549,0.43964578492138495,801.1933370302104,0.8449612403100775
underdog <= 40%,0.6,mma_boxing,holdout,114,106,0.2791270571145809,0.25943395495414734,-0.019693102160433573,-0.3293566621684511,-0.7253364928502077,0.1218075830247749,-1028.8914585908467,0.839622641509434
underdog <= 40%,0.6,mma_boxing,all,399,364,0.2973913800554698,0.2788461446762085,-0.018545235379261282,-0.023181693024154054,-0.2654700456646261,0.23710357122860232,-227.6981215606362,0.8434065934065934
underdog <= 40%,0.6,hockey,dev,1531,1449,0.3445286277334191,0.32022082805633545,-0.02430779967708363,-0.07341343706482253,-0.18215835275925094,0.03685802811255234,-2915.110718434411,0.6928916494133885
underdog <= 40%,0.6,hockey,all,1531,1449,0.3445286277334191,0.32022082805633545,-0.02430779967708363,-0.07341343706482253,-0.18215835275925094,0.03685802811255234,-2915.110718434411,0.6928916494133885
