pt,fills,games,usd,capital_usd,avg_price,won_pct,edge_pts,roi,ci_lo,ci_hi
50,970842,22598,171246080.0,172922784.0,0.5010359287261963,0.48927009105682373,-0.011765837669372559,-0.033008805279361425,-0.08607049606835837,0.02549480671010955
51,734090,21840,156977120.0,158608736.0,0.511137843132019,0.507928192615509,-0.0032096505165100098,-0.016382582759983607,-0.07661130408770218,0.050294415016785936
52,828993,22655,162195328.0,163700416.0,0.5211308002471924,0.5219100117683411,0.0007792115211486816,-0.00763796535765716,-0.07683026357276666,0.05903319819777446
53,947550,23575,175292800.0,176902352.0,0.5315999388694763,0.5015634298324585,-0.030036509037017822,-0.06485986755805423,-0.13585111385015125,0.010261553478847931
54,688524,23526,155805600.0,157200816.0,0.5412719249725342,0.525503396987915,-0.01576852798461914,-0.037607596373158296,-0.11020960247944123,0.02890335306487592
55,805169,24344,168604736.0,170109344.0,0.5512769222259521,0.5325387120246887,-0.018738210201263428,-0.042385286973475766,-0.11384986846198576,0.0272658484511937
56,812118,24629,157788864.0,159141568.0,0.5611973404884338,0.5699710845947266,0.008773744106292725,0.007120101844212542,-0.04457614251928777,0.06178242545387496
57,763139,24750,167353584.0,168781952.0,0.5712293982505798,0.5533880591392517,-0.017841339111328125,-0.03946006657848175,-0.10332389533753719,0.02576646207157155
58,784358,24977,164188512.0,165576160.0,0.5812374353408813,0.5821605920791626,0.00092315673828125,-0.006784415844883208,-0.07654133777051242,0.05617001763853259
59,752648,25211,160181280.0,161569664.0,0.5915795564651489,0.6202004551887512,0.028620898723602295,0.03930210044125965,-0.03565964176395209,0.11224254172954456
60,862656,25715,170416848.0,171832960.0,0.601296067237854,0.6321803331375122,0.030884265899658203,0.04268485599580072,-0.017088837563971334,0.10068025066448756
61,708101,25290,165263888.0,166549008.0,0.6113660335540771,0.5863489508628845,-0.025017082691192627,-0.04835692722178897,-0.13576466700619924,0.028944353342432845
62,640644,25380,157060480.0,158283664.0,0.6213042736053467,0.6284287571907043,0.007124483585357666,0.0035391046255770016,-0.06441384553944195,0.0742813964198848
63,592831,25096,156229008.0,157427776.0,0.6314041614532471,0.666266143321991,0.034861981868743896,0.04733928937632391,-0.018917261799217083,0.10716542100087434
64,757146,25750,156074752.0,157226896.0,0.6413305401802063,0.6192334890365601,-0.02209705114364624,-0.04140458696650207,-0.12813805640901235,0.04029939172312315
65,848633,26501,151653472.0,152758240.0,0.6518332958221436,0.6536473631858826,0.0018140673637390137,-0.004472014018728453,-0.06252588141323132,0.05449235852158073
66,622528,25993,137631088.0,138621680.0,0.6619033813476562,0.6212813854217529,-0.04062199592590332,-0.06824539231233254,-0.1861622089042091,0.028461027552379756
67,525908,25631,123409328.0,124273856.0,0.6712307929992676,0.642032265663147,-0.029198527336120605,-0.05020828319026076,-0.11691933587333968,0.014175513894940693
68,618575,26054,130954544.0,131794016.0,0.6812441349029541,0.6633654236793518,-0.017878711223602295,-0.03242294504978236,-0.09953338962145114,0.038131060801624
69,529314,25924,131322168.0,132084368.0,0.6914043426513672,0.6840468049049377,-0.007357537746429443,-0.016456401211452587,-0.08318001162215802,0.04688910762161322
70,658471,26705,135285680.0,136086672.0,0.7011135220527649,0.7272709608078003,0.0261574387550354,0.031248841040931615,-0.020539293055741495,0.08013830192737718
71,658608,26686,116108456.0,116798896.0,0.7115727663040161,0.7024307250976562,-0.009142041206359863,-0.018653932559792565,-0.07318660085253764,0.02852641160135741
72,525243,26506,114787168.0,115422408.0,0.721627414226532,0.7061082124710083,-0.015519201755523682,-0.026510747633625095,-0.1003842370677857,0.0353895501771677
73,464583,26155,116947200.0,117600832.0,0.7313684225082397,0.7493839263916016,0.018015503883361816,0.018996383644068082,-0.041223118175232706,0.0725155966962292
74,468921,26096,120772504.0,121421008.0,0.741416335105896,0.79288649559021,0.051470160484313965,0.0637751254847871,0.02102321234825131,0.10008209683075109
75,608377,27208,117356752.0,117925040.0,0.7511869668960571,0.7882803082466125,0.03709334135055542,0.044373989832868575,0.003290215232101615,0.07993270949115278
76,456519,26165,109630320.0,110167512.0,0.7613375782966614,0.7437925338745117,-0.017545044422149658,-0.027809873800356363,-0.07956047099437503,0.020716085985364174
77,501478,26442,114461888.0,115022384.0,0.7715331315994263,0.766311764717102,-0.005221366882324219,-0.011594376266649073,-0.07314535224534387,0.04355866684679466
78,544906,27020,109558280.0,110073744.0,0.7814702987670898,0.8045510649681091,0.023080766201019287,0.024678723006233236,-0.01239364529063527,0.059459964664500826
79,356710,26037,107254960.0,107718304.0,0.7914793491363525,0.79188072681427,0.00040137767791748047,-0.003757324387366494,-0.046427295854396915,0.038416136264185774
80,548984,27379,106357808.0,106818280.0,0.8012225031852722,0.7928006052970886,-0.008421897888183594,-0.014803430453762602,-0.056952616794079765,0.021038571853284543
81,416308,26240,97155824.0,97556968.0,0.8115734457969666,0.8000385165214539,-0.011534929275512695,-0.018253411703505355,-0.06043607002223334,0.022315208742759482
82,471548,26634,109194848.0,109642032.0,0.8213681578636169,0.8101975917816162,-0.011170566082000732,-0.017596646190606437,-0.07620565175418277,0.029936819803055053
83,400980,26072,99850168.0,100214664.0,0.8315361738204956,0.8140122890472412,-0.017523884773254395,-0.024555023119209374,-0.06874417996375598,0.01552506061056968
84,490061,27150,97068832.0,97407072.0,0.8416333794593811,0.797068178653717,-0.04456520080566406,-0.056302852398728606,-0.1269265892278016,-0.0012186583416673503
85,412847,27151,97311344.0,97623280.0,0.8514907956123352,0.8396754860877991,-0.011815309524536133,-0.017056994496609454,-0.05502311757997563,0.01786017034472784
86,370603,25954,100206224.0,100510640.0,0.861425518989563,0.8528758883476257,-0.008549630641937256,-0.012919968775514263,-0.09258363126066982,0.038019658913582395
87,390847,26490,89709352.0,89964424.0,0.8716638684272766,0.864569365978241,-0.0070945024490356445,-0.010972978633376576,-0.04344182840260855,0.01764313706318381
88,387583,26468,93968560.0,94218768.0,0.8816772103309631,0.8745272159576416,-0.007149994373321533,-0.010750432216760416,-0.04131055389762091,0.017722548028927938
89,360224,26120,100650560.0,100891968.0,0.8917952179908752,0.8874116539955139,-0.004383563995361328,-0.0072577010638564705,-0.03247046383040082,0.0150880638414566
90,493771,28137,112409672.0,112650568.0,0.9022318124771118,0.8872621655464172,-0.01496964693069458,-0.018702284220114777,-0.048684767936733334,0.0060488398580287855
91,359452,25508,82136688.0,82304632.0,0.911969006061554,0.9055615067481995,-0.006407499313354492,-0.009003326371935511,-0.03290140175473994,0.009893078881946286
92,379623,26354,92459824.0,92633200.0,0.9218742251396179,0.8741365671157837,-0.04773765802383423,-0.05358958075001766,-0.10642012500272018,-0.011846417068312185
93,373596,26452,93895312.0,94048216.0,0.9320194125175476,0.928715169429779,-0.0033042430877685547,-0.005147264745988692,-0.028739113573730855,0.01182370984950875
94,354023,26421,99332432.0,99466656.0,0.9423323273658752,0.945241391658783,0.002909064292907715,0.0017516149044074921,-0.010006902246763653,0.011596753206638357
95,373570,27074,107645584.0,107766464.0,0.952298641204834,0.9382938146591187,-0.014004826545715332,-0.015820994422351527,-0.0381392546090849,0.0027880924312189974
96,375743,26735,109396336.0,109493072.0,0.9632511734962463,0.9579736590385437,-0.005277514457702637,-0.006375885320873469,-0.018707787238188646,0.0034951410190037276
97,313417,26504,123949816.0,124031344.0,0.9738005995750427,0.9706137776374817,-0.003186821937561035,-0.003940383455187713,-0.01131808636584038,0.0026514472077938966
98,331108,28564,155878896.0,155932848.0,0.9844179749488831,0.9834020137786865,-0.0010159611701965332,-0.001376057976179078,-0.005542253564089585,0.0022833941715462275
99,485844,29164,411619072.0,411646976.0,0.9962944984436035,0.9962108731269836,-8.362531661987305e-05,-0.0001514515715525603,-0.0013280329467128687,0.0008800195681541987
