bucket,games,implied,actual,ci95,actual_minus_implied
"(0.499, 0.55]",1970,0.5254848817546701,0.5279187817258884,0.506-0.550,0.002433899971218234
"(0.55, 0.6]",1489,0.5754912199913029,0.5386165211551377,0.513-0.564,-0.03687469883616523
"(0.6, 0.65]",719,0.6252153446543811,0.6091794158553546,0.573-0.644,-0.01603592879902649
"(0.65, 0.7]",315,0.6742722413571428,0.6761904761904762,0.623-0.725,0.001918234833333421
"(0.7, 0.75]",139,0.7229724644312949,0.7410071942446043,0.662-0.807,0.018034729813309336
"(0.75, 1.0]",18,0.7735555559777778,0.8333333333333334,0.608-0.942,0.05977777735555556
