season,games,avg_fav_price,fav_win_rate,gap_win_minus_price,roi_no_fee_no_slip,roi_no_fee_ci,roi_actual_fee_1c,roi_5pct_fee_1c,roi_5pct_ci,pnl_$100_per_game_actual_fee,fav_roi_at_ask_actual_fee,fav_unfilled,fav_proxy_stake_usd,fav_full_100_fills,fav_partial_proxy_roi,fav_at_ask_ci,underdog_roi_at_ask_actual_fee,dog_unfilled,underdog_at_ask_ci
2025,4806,0.6456522929524969,0.6368081564710778,-0.00884413648141913,-0.016150888336083864,-0.038..+0.006,-0.03160064922855234,-0.04786792792038941,-0.069..-0.027,-15187.272019242255,-0.02464042201122269,163,239032.85756388647,1731,-0.018032522200207617,-0.047..-0.002,-0.0035292284842516155,235,-0.046..+0.043
2026,9991,0.6197095378436642,0.6112000800720648,-0.008509457771599394,-0.015299081921986084,-0.031..+0.000,-0.040971217716249966,-0.04908600130526256,-0.064..-0.034,-40934.34362030534,-0.033197299822234856,192,374052.79315258097,2322,-0.04055825085172682,-0.048..-0.016,-0.0055502203042436605,235,-0.042..+0.030
