band,policy,slip,period,signals,bets,games,unfilled,partial,roi,ci_lo,ci_hi,capital_usd,pnl_usd,shares,max_game_capital_share,top5_game_pnl,median_allocated_usd
primary74_75,one_per_event,0.0,dev,739,737,737,2,550,0.04900137787146358,-0.008240121548492157,0.10243271822828016,28678.656808538955,1405.2936991212391,38440.7346474322,0.0034869136538579243,204.28124087345014,15.112499997485429
primary74_75,one_per_event,0.0,holdout,249,247,247,2,199,-0.004882707801651173,-0.12329565507206439,0.10780823506680373,8171.062566029175,-39.896910938930475,10786.262896217795,0.01223831040233929,184.39460706429037,10.139996409234337
primary74_75,one_per_event,0.01,dev,739,737,737,2,539,0.03518706141464014,-0.021026289107234686,0.0878671225757054,28797.267799609577,1013.2912306387009,38091.370641693604,0.0034725516564927655,194.49803637490487,15.309439997553824
primary74_75,one_per_event,0.01,holdout,249,247,247,2,198,-0.01666133144064006,-0.13294542607866736,0.0939982596462569,8214.406840536773,-136.86295495844408,10710.818241153669,0.01217373353198385,175.3261676568471,10.27576025603949
primary74_75,capped_proportional,0.0,dev,1939,1591,739,348,896,0.07031248475410587,0.012619917619633395,0.12376820379117755,20286.147172177898,1426.3694137633065,27127.254790675674,0.004929472272445517,175.8539408127716,10.418101310729982
primary74_75,capped_proportional,0.0,holdout,535,440,248,95,252,0.04037020073525534,-0.06858374636637542,0.14005002091444632,5715.5439988609005,230.73765854519857,7608.61128244922,0.01749614735184085,169.532527016394,10.264578441729071
primary74_75,capped_proportional,0.01,dev,1939,1588,739,351,883,0.05630476124944001,-0.0006393927089572345,0.10905069400267081,20340.16250679767,1145.2479937200544,26842.304065013614,0.004916381566104994,166.87741891896468,10.422650756835939
primary74_75,capped_proportional,0.01,holdout,535,440,248,95,252,0.027119147369527,-0.0799921094549326,0.12581856345256578,5732.766281546888,155.46773362432538,7534.325827663498,0.017443585712169783,160.84740174291136,10.291715424650604
comparator73_76,one_per_event,0.0,dev,774,772,772,2,582,0.002314305541448697,-0.05811044172187139,0.06152311703745337,29827.857153676254,69.03077510029259,39953.96641774678,0.003352570702105401,224.57530075616205,15.098997512643583
comparator73_76,one_per_event,0.0,holdout,237,234,234,3,196,-0.01029226076468816,-0.12969103352236458,0.09954024755214097,7185.107303839188,-73.95099799337837,9527.364198187497,0.013917676629069611,182.95337173727506,11.021809887893621
comparator73_76,one_per_event,0.01,dev,774,772,772,2,574,-0.010847699460115065,-0.07023406708869745,0.04765842184443123,29962.45652658863,-325.0237234871964,39606.187795466874,0.003337510057336594,215.41873427072755,15.29821004625582
comparator73_76,one_per_event,0.01,holdout,237,234,234,3,195,-0.02305043647518581,-0.14069020544006056,0.08508359502302866,7228.559570581339,-166.62145318878163,9462.253384223477,0.013834014788641737,173.92228434983636,11.162294360332744
comparator73_76,capped_proportional,0.0,dev,1841,1564,773,277,873,-0.011998021696660815,-0.07356341256926292,0.04612881492660794,20495.95781399186,-245.91094654611902,27417.611591990666,0.004879010822891798,188.19753766178715,10.25151843585968
comparator73_76,capped_proportional,0.0,holdout,452,417,235,35,241,-0.015462847864283,-0.12974599878381973,0.09028915013421668,4967.233095917013,-76.80756966859619,6572.12358485221,0.02013193221840111,174.05030519671607,10.11987012759134
comparator73_76,capped_proportional,0.01,dev,1841,1564,773,277,868,-0.02507031054147648,-0.08580264512104468,0.03223913456416885,20553.577922149376,-515.2845812467198,27133.273638642524,0.004865332954620807,178.85343540066742,10.269679015588759
comparator73_76,capped_proportional,0.01,holdout,452,416,235,36,240,-0.027735495003224885,-0.1404414720004816,0.07658182235947837,4983.019889468167,-138.20652324531454,6508.690882669001,0.020068151887443684,165.2783852758663,10.218586694374869
