sport,pt,fills,games,usd,capital_usd,avg_price,won_pct,edge_pts,roi,ci_lo,ci_hi
tennis,50,196955,6446,20202844.0,20530400.0,0.501801609992981,0.5055122971534729,0.0037106871604919434,-0.008822791864011801,-0.0521755094846096,0.04174160915405668
tennis,51,161196,6291,22189924.0,22555234.0,0.5116378664970398,0.5009730458259583,-0.010664820671081543,-0.03682065272411598,-0.1238904291209996,0.04203315130561038
tennis,52,155905,6423,17488776.0,17777944.0,0.5219871997833252,0.5490286350250244,0.02704143524169922,0.034828677568899125,-0.036365066411642895,0.11158414974708154
tennis,53,170811,6583,17826864.0,18110628.0,0.5327746868133545,0.559301495552063,0.026526808738708496,0.03314866172758329,-0.0406143886589051,0.1149307823327993
tennis,54,125777,6600,16050678.0,16306554.0,0.5422426462173462,0.5401223301887512,-0.0021203160285949707,-0.019611496068849425,-0.08445787658025385,0.04435651861362381
tennis,55,153402,6777,17997268.0,18276808.0,0.5523865222930908,0.5220314264297485,-0.030355095863342285,-0.06941051142967172,-0.13527126355510327,-0.007294308562325432
tennis,56,154945,6904,18888546.0,19173424.0,0.5622648000717163,0.5596171617507935,-0.0026476383209228516,-0.019282783704696525,-0.0908400927962871,0.04924271718360279
tennis,57,138833,6949,18552268.0,18826128.0,0.5721942186355591,0.5498751997947693,-0.022319018840789795,-0.053147431651544924,-0.11836071832180246,0.010203434126872862
tennis,58,150187,7057,19037108.0,19317752.0,0.5822708606719971,0.5586423873901367,-0.02362847328186035,-0.05462588682446842,-0.11825406350743733,0.00788945561704605
tennis,59,147466,7171,20252312.0,20544816.0,0.5923592448234558,0.5721593499183655,-0.020199894905090332,-0.04782147155753167,-0.1141935339572711,0.016846994085257434
tennis,60,182046,7336,22734046.0,23038946.0,0.6017922163009644,0.5932923555374146,-0.008499860763549805,-0.027316773022130033,-0.12296932818400516,0.06227126183743257
tennis,61,145550,7302,19809480.0,20070374.0,0.6120167970657349,0.6064237356185913,-0.005593061447143555,-0.021845700669868053,-0.09230194257073744,0.042883234360473664
tennis,62,137106,7347,19568280.0,19823404.0,0.6219441890716553,0.6148334741592407,-0.007110714912414551,-0.02426853909245282,-0.10009145674155276,0.047393696324911416
tennis,63,125364,7334,18709424.0,18942760.0,0.6323012113571167,0.6489381194114685,0.016636908054351807,0.013551887677982228,-0.04590693504654142,0.06751182006079502
tennis,64,155527,7529,17445868.0,17660324.0,0.6421182155609131,0.6363198161125183,-0.005798399448394775,-0.021094262817942553,-0.07652857689427832,0.03539844358476569
tennis,65,176970,7690,18368836.0,18582318.0,0.6529396772384644,0.6250638365745544,-0.027875840663909912,-0.05365873791223547,-0.10004351652721392,-0.00922032897063992
tennis,66,135194,7665,17497612.0,17695076.0,0.6628382205963135,0.6810638904571533,0.018225669860839844,0.015954473203495707,-0.03403792079379086,0.06149336364050449
tennis,67,114568,7655,18672464.0,18874280.0,0.6721742749214172,0.6515084505081177,-0.02066582441329956,-0.041234395097075924,-0.12468404253187093,0.03720973171922052
tennis,68,127772,7725,17494680.0,17675698.0,0.6820869445800781,0.6684336066246033,-0.013653337955474854,-0.03018763587427883,-0.09374061807055195,0.02726330809565322
tennis,69,113599,7693,18125910.0,18311812.0,0.6920859217643738,0.6741776466369629,-0.01790827512741089,-0.03555913578962232,-0.10205205845597164,0.02906815755666036
tennis,70,140091,7891,17893318.0,18065286.0,0.702007532119751,0.6944200396537781,-0.0075874924659729,-0.020236259930760572,-0.0679768533335398,0.02502899271866107
tennis,71,143365,7946,16924012.0,17082120.0,0.7123701572418213,0.7072980999946594,-0.005072057247161865,-0.01625625977238893,-0.06541449828645957,0.032273135172571764
tennis,72,118074,7932,16119980.0,16265726.0,0.722214937210083,0.7225395441055298,0.00032460689544677734,-0.008422516739848724,-0.05270514445384059,0.03305922633665365
tennis,73,102213,7804,16787456.0,16932322.0,0.7321033477783203,0.7284521460533142,-0.0036512017250061035,-0.013217210776618356,-0.06872776345661068,0.03835429108457447
tennis,74,101174,7833,17001684.0,17145390.0,0.7420065402984619,0.7445416450500488,0.002535104751586914,-0.004880435594201898,-0.05833550189943693,0.044868071636372936
