inning,1,2,3,4,5,6
2,0.617120836774016,0.733139534883721,0.8214716525934861,0.8644578313253012,0.8661417322834646,0.9204545454545454
3,0.6304547542489665,0.7487373737373737,0.8097784568372803,0.875195007800312,0.9365994236311239,0.947945205479452
4,0.6379228203906622,0.7577526450200657,0.830607476635514,0.9017175572519084,0.9197207678883071,0.9689349112426036
5,0.6692793931731985,0.775567190226876,0.8510301109350238,0.9249174917491749,0.9215155615696887,0.990036231884058
6,0.6783609317990458,0.803169014084507,0.876984126984127,0.9287288758265981,0.9607032057911065,0.988296488946684
7,0.7110379898294945,0.8431015653440116,0.9106529209621993,0.9515190691661279,0.9794117647058823,0.9923273657289002
8,0.7581741663968922,0.8806376360808709,0.9463846532218396,0.9708306911857958,0.9844155844155844,0.9970513900589723
9,0.855118668083599,0.9347385488447507,0.9798285426122038,0.9908031882280809,0.995253164556962,0.9985642498205313
