k_std,fee,signals,bets,unfilled,win_rate,avg_price_paid,capital_usd,pnl_usd,roi_per_$,roi_ci95
1.0,historical actual,2180,1998,182,0.44544544544544545,0.46336360989074077,41994.68657641725,-3226.9262344512263,-0.07684129820993489,-0.162 to +0.008
1.5,historical actual,2014,1925,89,0.4644155844155844,0.4746461991216104,38425.912417213345,-683.9529117310449,-0.017799262755428032,-0.111 to +0.077
2.0,historical actual,1622,1567,55,0.49266113592852584,0.5109107816092534,31234.136994202272,-903.3824798220687,-0.028922921097187866,-0.116 to +0.061
