events,n,median_move,t50_median_s,t50_p90_s,t90_median_s,events_w_stale_fill_0-5s,median_stale_usd_0-5s,events_w_stale_fill_5-10s,median_stale_usd_5-10s,events_w_stale_fill_10-20s,median_stale_usd_10-20s,events_w_stale_fill_20-30s,median_stale_usd_20-30s,events_w_stale_fill_30-45s,median_stale_usd_30-45s,events_w_stale_fill_45-60s,median_stale_usd_45-60s
all scoring plays,6471,0.12,7.002000093460083,27.104000091552734,14.739000082015991,0.4977592335033225,0.0,0.19085149126873743,0.0,0.1013753670220986,0.0,0.021016844382630195,0.0,0.006799567300262711,0.0,0.00200896306598671,0.0
home runs,2133,0.13999997520000002,6.713000059127808,26.809399938583375,12.130000114440918,0.5574308485700891,4.5,0.21425222691045476,0.0,0.10782934833567745,0.0,0.016408813877168308,0.0,0.007032348804500703,0.0,0.001875293014533521,0.0
