sport,bucket,fills,usd,capital_usd,avg_price,won_pct,fills_won_pct,edge_pts,roi_after_fee,ci_lo,ci_hi
tennis,"[0.5, 0.55)",135808,20043040.0,20345088.0,0.5221653580665588,0.5715375542640686,0.5254329442977905,0.049372196197509766,0.07601782975935088,-0.06301755074243431,0.2114485288056041
tennis,"[0.55, 0.6)",157892,27045600.0,27435236.0,0.5730897784233093,0.5458078384399414,0.5525295734405518,-0.02728193998336792,-0.06115188873307509,-0.15518038698790515,0.04038918868461645
tennis,"[0.6, 0.65)",178554,33666164.0,34072704.0,0.6221235990524292,0.6068320870399475,0.6234248280525208,-0.01529151201248169,-0.035403606918217805,-0.13911092080166498,0.06975997431832953
tennis,"[0.65, 0.7)",124104,26248852.0,26512982.0,0.6786177158355713,0.6702348589897156,0.623630166053772,-0.008382856845855713,-0.022364114122313608,-0.13701160271762994,0.0848771702844754
tennis,"[0.7, 0.75)",85425,18284574.0,18429848.0,0.726369321346283,0.7151314616203308,0.6857126355171204,-0.011237859725952148,-0.023084153446702175,-0.14253238391994652,0.07159386535505048
tennis,"[0.75, 0.8)",80896,23188942.0,23349292.0,0.7738907337188721,0.8011491894721985,0.7366495132446289,0.027258455753326416,0.027250595499942062,-0.10093675435192785,0.12118986863396064
tennis,"[0.8, 0.85)",66106,33580052.0,33781052.0,0.8188537359237671,0.911133348941803,0.7958884239196777,0.09227961301803589,0.10659480451663707,-0.00033863316416267973,0.155405744772414
tennis,"[0.85, 0.9)",46487,19139380.0,19211550.0,0.873347282409668,0.9123507738113403,0.8706305027008057,0.03900349140167236,0.04169671171790356,-0.027392500032180186,0.08724522501023066
tennis,"[0.9, 0.925)",14292,5345180.0,5357827.0,0.9154369831085205,0.7377172112464905,0.8853904008865356,-0.17771977186203003,-0.1954917217307391,-0.4709686943975058,0.044872622795927214
tennis,"[0.925, 0.95)",14304,5899047.5,5909833.0,0.9380665421485901,0.9690903425216675,0.9212807416915894,0.031023800373077393,0.031288279457008426,0.003553344493167119,0.04943065963133772
tennis,"[0.95, 0.96)",3534,1497451.75,1498976.125,0.9587950110435486,0.9442490935325623,0.9598188996315002,-0.014545917510986328,-0.016132922049168805,-0.10502468564989233,0.032121024418980765
tennis,"[0.96, 0.97)",2055,1314145.5,1315245.375,0.9663136601448059,0.99029141664505,0.9829683899879456,0.02397775650024414,0.023950865071814598,0.007945621063458856,0.03381167324712008
tennis,"[0.97, 0.98)",2381,1431953.0,1432950.0,0.9750253558158875,0.9110851287841797,0.9092817902565002,-0.06394022703170776,-0.06592706909152442,-0.25321953875418424,0.02558201165125317
tennis,"[0.98, 0.99)",1208,643516.875,643753.4375,0.984051525592804,0.9483116865158081,0.9602649211883545,-0.03573983907699585,-0.03678121970940425,-0.17204213331515056,0.016953067856441073
tennis,"[0.99, 1.0)",505,417183.25,417231.6875,0.9938192367553711,0.9990114569664001,0.9702970385551453,0.005192220211029053,0.005117989695573495,-0.00018284125776747915,0.0072882584247009755
esports,"[0.5, 0.55)",167979,36860344.0,37314352.0,0.5219506621360779,0.49196523427963257,0.48382237553596497,-0.029985427856445312,-0.0676914020417165,-0.17364077394500504,0.030992296227388486
esports,"[0.55, 0.6)",173357,43883560.0,44419384.0,0.57032710313797,0.51523756980896,0.5440391898155212,-0.05508953332901001,-0.10945849643951776,-0.22464035393569304,0.014350124956207641
esports,"[0.6, 0.65)",198952,52989768.0,53533308.0,0.625264048576355,0.6842950582504272,0.6082069873809814,0.059031009674072266,0.08361925006855289,-0.010227668483981113,0.17190992716128048
esports,"[0.65, 0.7)",145004,34180164.0,34461604.0,0.6784645915031433,0.7229294776916504,0.6658505797386169,0.04446488618850708,0.05715147704627838,-0.015312738529533996,0.1231423686147941
esports,"[0.7, 0.75)",97298,27865530.0,28033704.0,0.7261500358581543,0.7449732422828674,0.7067668437957764,0.018823206424713135,0.018883883699769077,-0.07029752664453497,0.10150044672831668
esports,"[0.75, 0.8)",93175,28104194.0,28260260.0,0.7675014138221741,0.7008381485939026,0.7180144786834717,-0.06666326522827148,-0.0924043264065033,-0.1895153238492915,-0.006634289540333324
esports,"[0.8, 0.85)",68514,21004792.0,21090228.0,0.8205849528312683,0.8393726348876953,0.799734354019165,0.018787682056427002,0.0191812710100841,-0.05108989540669667,0.07708633911682249
esports,"[0.85, 0.9)",58347,20567498.0,20624026.0,0.8734607100486755,0.7978764772415161,0.8143349289894104,-0.07558423280715942,-0.09009235143463158,-0.203688573893433,0.00949359603753081
esports,"[0.9, 0.925)",13103,4050546.0,4059044.0,0.9139214158058167,0.9001593589782715,0.9098679423332214,-0.013762056827545166,-0.017080443216938395,-0.13000760418036406,0.05843836692213325
esports,"[0.925, 0.95)",9723,3944009.5,3949329.0,0.9399087429046631,0.9181191921234131,0.9084644913673401,-0.02178955078125,-0.024533436447926094,-0.1346525040223945,0.03770894308678415
esports,"[0.95, 0.96)",1458,463810.3125,464329.875,0.9577993750572205,0.9410614371299744,0.952674925327301,-0.016737937927246094,-0.018517549748151396,-0.15461750450414039,0.041830360354026215
esports,"[0.96, 0.97)",855,372387.4375,372671.21875,0.9649947285652161,0.9995893239974976,0.9918128848075867,0.034594595432281494,0.03507159455132433,0.03163694689464112,0.036998204296826105
esports,"[0.97, 0.98)",977,241259.484375,241404.65625,0.9743476510047913,0.997204065322876,0.9692937731742859,0.022856414318084717,0.022864445094416593,0.014290015659882067,0.026536511850036484
esports,"[0.98, 0.99)",835,421858.75,422047.0,0.9837959408760071,0.9969301223754883,0.9676646590232849,0.013134181499481201,0.01290345235098082,-0.011392119474137997,0.016081190585760994
esports,"[0.99, 1.0)",424,79177.1015625,79179.703125,0.9947277307510376,0.993841826915741,0.9716981053352356,-0.0008859038352966309,-0.0009355538951478175,-0.01891909104236332,0.005796086366717269
basketball,"[0.5, 0.55)",347524,81089216.0,81309952.0,0.5231713056564331,0.49222829937934875,0.5070786476135254,-0.03094300627708435,-0.06207301881997136,-0.16524898319374778,0.03955686210118318
basketball,"[0.55, 0.6)",377199,91538240.0,91844672.0,0.5695856213569641,0.55375075340271,0.5404971837997437,-0.01583486795425415,-0.030805895948408924,-0.14898282826431455,0.07764563787721826
basketball,"[0.6, 0.65)",402853,99735264.0,99992256.0,0.6237956285476685,0.5696526169776917,0.5611873269081116,-0.05414301156997681,-0.08863087323831965,-0.1898359778543109,0.01489706583102369
basketball,"[0.65, 0.7)",347156,94307800.0,94535488.0,0.6813756823539734,0.6703857183456421,0.6699466705322266,-0.010989964008331299,-0.019267644209011076,-0.12744712551224138,0.08389110134350275
basketball,"[0.7, 0.75)",206236,63213656.0,63329488.0,0.7268009185791016,0.7924240827560425,0.7336595058441162,0.06562316417694092,0.08734004012273185,-0.005625768528585956,0.17089521790639695
basketball,"[0.75, 0.8)",214847,67131264.0,67246832.0,0.7697082757949829,0.7835663557052612,0.7604807019233704,0.01385807991027832,0.016442173434500933,-0.07542107926162556,0.09991965666129511
basketball,"[0.8, 0.85)",197252,58979264.0,59022512.0,0.8205556869506836,0.7656629085540771,0.7659491300582886,-0.054892778396606445,-0.06705758820923802,-0.15881403176989123,0.022229221750389994
basketball,"[0.85, 0.9)",163013,56454664.0,56509036.0,0.8731532692909241,0.8210309743881226,0.8441658020019531,-0.052122294902801514,-0.06025402321866444,-0.1542973579502348,0.020290821751670417
basketball,"[0.9, 0.925)",34152,10427289.0,10434728.0,0.9137342572212219,0.9545924067497253,0.9429608583450317,0.04085814952850342,0.043741718276669346,-0.013846010224297647,0.08316285975570772
basketball,"[0.925, 0.95)",32438,8458022.0,8465462.0,0.9391353726387024,0.9888827204704285,0.970805823802948,0.049747347831726074,0.052074972409503595,0.0387984341207395,0.060782576239827475
basketball,"[0.95, 0.96)",2000,436197.1875,436541.125,0.9593619704246521,0.9973174333572388,0.9894999861717224,0.03795546293258667,0.038736560552676075,0.02819484345474556,0.042706368243981475
basketball,"[0.96, 0.97)",1550,281504.6875,281745.125,0.9673545360565186,0.9992753267288208,0.9954838752746582,0.031920790672302246,0.03211996281476682,0.028600486636309642,0.034100907422338254
basketball,"[0.97, 0.98)",3262,961005.5625,961669.125,0.9740232229232788,0.9978436827659607,0.9932556748390198,0.023820459842681885,0.023762613377291825,-0.00046626264985007875,0.026813015329620594
basketball,"[0.98, 0.99)",1887,675336.9375,675452.4375,0.985621452331543,0.9997987151145935,0.995230495929718,0.014177262783050537,0.01421701881092852,0.013424228126294095,0.016792889693005478
basketball,"[0.99, 1.0)",841,371021.6875,371021.96875,0.9961522817611694,0.9999973177909851,0.9988109469413757,0.003845036029815674,0.003870972361935399,0.0023492740151201405,0.005721571847015307
