min_usd,phase,trades,leader_roi,copy_d0,copy_d0_ci,copy_d5,copy_d5_ci,copy_d30,copy_d30_ci,copy_d60,copy_d60_ci,funded_move_5_10min,move_funded_signals
1000,all,1012179,0.003006830345839262,-0.013779681419184564,-0.023..-0.004,-0.015222313627363359,-0.025..-0.006,-0.01913521261564537,-0.029..-0.010,-0.015495658883472164,-0.025..-0.007,-0.00022933133910025793,93965
1000,pregame,359763,0.0032655990216881037,-0.01437269212231358,-0.026..-0.001,-0.015343400028860256,-0.028..-0.003,-0.019632741033486518,-0.032..-0.007,-0.015339464549147403,-0.028..-0.002,0.0030199318534278067,50031
1000,in_play,652416,0.0027442032005637884,-0.012902273150454899,-0.024..-0.000,-0.015043221463472069,-0.028..-0.002,-0.01838819236516939,-0.031..-0.005,-0.01572635147781792,-0.028..-0.004,-0.0039295154057769,43934
10000,all,87010,0.0038826651871204376,-0.013920876616128428,-0.030..+0.000,-0.0069054969235360095,-0.023..+0.009,-0.015421516325991265,-0.030..+0.000,-0.011635850630197928,-0.028..+0.004,-0.0008228825547025,26803
10000,pregame,45694,0.0060058035887777805,-0.014857739226342334,-0.038..+0.007,-0.005629383090743813,-0.028..+0.016,-0.022041290763116634,-0.044..+0.001,-0.024244447754641914,-0.046..-0.002,0.0035757741995898636,16339
10000,in_play,41316,0.00017774643492884934,-0.01266222170699859,-0.032..+0.007,-0.008689048517154819,-0.028..+0.012,-0.005561902356906838,-0.028..+0.015,0.007873186775495072,-0.013..+0.028,-0.007691159763072428,10464
50000,all,10857,0.012439887970685959,-0.01756311595141098,-0.052..+0.020,-0.014948722254799285,-0.053..+0.021,-0.00469882812983327,-0.040..+0.029,-0.009843620219073401,-0.045..+0.025,0.001688979679478741,5257
50000,pregame,7769,0.017019279301166534,-0.027201860531302583,-0.073..+0.019,-0.020916960817435534,-0.066..+0.024,-0.005198040680763087,-0.051..+0.040,-0.011022263548213848,-0.055..+0.034,0.0038979400899539106,4089
50000,in_play,3088,-0.002097031334415078,0.0069427874751721306,-0.054..+0.074,0.0014962177666528649,-0.060..+0.064,-0.003193539081777144,-0.061..+0.058,-0.0061512180629956425,-0.067..+0.052,-0.0060442729904125,1168
