threshold,games,avg_price,win_rate,win_minus_price,roi_before_costs,roi_after_fees,ci95,actual_proxy_pnl_usd,capital_usd
>= 50%,13346,0.6438453140707402,0.6344972276337479,-0.009348086436992253,-0.01664460676033528,-0.03214762407587738,-0.049..-0.015,-18573.743366900177,577764.1085717859
>= 55%,10343,0.678944284344547,0.6719520448612588,-0.0069922394832881984,-0.01190252248291865,-0.025054364625297722,-0.043..-0.007,-11368.691397437471,453760.914214458
>= 60%,7490,0.7201395372306008,0.7169559412550067,-0.0031835959755940335,-0.0050372586785339905,-0.014579668310234436,-0.034..+0.004,-4899.866073739962,336075.2775356639
>= 65%,5234,0.7630138127203572,0.761654566297287,-0.0013592464230701706,-0.0021292225608168197,-0.009713864795655272,-0.030..+0.010,-2328.062052925684,239663.831224721
>= 70%,3760,0.7987878816538297,0.7970744680851064,-0.0017134135687233432,-0.002370273639577609,-0.006177563116125887,-0.027..+0.015,-1080.407004166325,174892.10289831512
>= 75%,2623,0.8328419315837019,0.8278688524590164,-0.0049730791246854755,-0.0067567677235776955,-0.006964924647355863,-0.029..+0.015,-870.2108624660814,124941.89191213215
>= 80%,1753,0.8643413067820308,0.8650884198516828,0.0007471130696520278,0.0004211434935778168,0.005595825052602912,-0.019..+0.030,472.10511105155183,84367.38222042001
>= 85%,994,0.8981213078123239,0.9104627766599598,0.012341468847635872,0.013855378296422933,0.014538382738904797,-0.012..+0.040,706.8111657773852,48616.9045395919
>= 90%,451,0.9308728668398005,0.9467849223946785,0.015912055554877957,0.017413650324746056,0.019107778728758434,-0.011..+0.043,413.93691692918026,21663.267238183926
