bucket,games,avg_fav_price,fav_win_rate,gap_win_minus_price,roi_no_fee_no_slip,roi_no_fee_ci,roi_actual_fee_1c,roi_5pct_fee_1c,roi_5pct_ci,pnl_$100_per_game_actual_fee,fav_roi_at_ask_actual_fee,fav_unfilled,fav_proxy_stake_usd,fav_full_100_fills,fav_partial_proxy_roi,fav_at_ask_ci,underdog_roi_at_ask_actual_fee,dog_unfilled,underdog_at_ask_ci
"(0.499, 0.55]",2922,0.5258857791175564,0.5039356605065024,-0.021950118611054004,-0.04123024894770349,-0.076..-0.008,-0.06686113303212325,-0.0804952082074509,-0.114..-0.049,-19536.82307198641,-0.059759100712782516,83,120015.28462718971,828,-0.0804884267929811,-0.095..-0.028,0.028725908557119217,108,-0.011..+0.064
"(0.55, 0.6]",2694,0.5770741299749814,0.5682999257609502,-0.00877420421403119,-0.01508534760681977,-0.047..+0.017,-0.038909490422486905,-0.051462030909028005,-0.082..-0.020,-10482.216719817972,-0.02986684917829238,42,112794.49332071625,753,-0.01462156685297245,-0.062..+0.003,-0.003425347534614283,70,-0.045..+0.041
"(0.6, 0.65]",1791,0.6274031012944166,0.6063651591289783,-0.021037942165438306,-0.0334609890434215,-0.070..+0.002,-0.05419445637216621,-0.06557496646428788,-0.101..-0.032,-9706.227136254967,-0.045198718976216336,44,74154.52525730796,486,-0.04504727619741294,-0.082..-0.010,0.02548524514710758,62,-0.033..+0.086
"(0.65, 0.7]",1353,0.6773836186071692,0.6814486326681448,0.004065014060975591,0.0057130884806266815,-0.032..+0.042,-0.014343413166308184,-0.02416354770803313,-0.061..+0.011,-1940.6638014014973,-0.008006578035073703,35,57216.63887308397,379,-0.008936539369901589,-0.043..+0.029,-0.050251298031586365,52,-0.128..+0.027
"(0.7, 0.75]",1004,0.7276594514558268,0.7390438247011952,0.011384373245368451,0.015179980186348035,-0.023..+0.054,-0.0028328354549413516,-0.011529841556744766,-0.049..+0.026,-284.4166796761117,0.0063719414036113526,22,45354.77240950855,306,-0.0025943192843260435,-0.030..+0.043,-0.07289810283532881,36,-0.172..+0.026
"(0.75, 0.8]",773,0.7785709543046573,0.7645536869340233,-0.014017267370634023,-0.01806697700882087,-0.055..+0.018,-0.033779598069089735,-0.04066100170459963,-0.076..-0.005,-2611.162930740637,-0.034649710175990556,23,34351.53603177212,225,-0.037891569503180254,-0.076..+0.003,0.05223857558302183,36,-0.081..+0.192
"(0.8, 0.9]",1103,0.8507939940544423,0.8472348141432456,-0.003559179911196697,-0.004818330041636025,-0.031..+0.020,-0.01847879805944706,-0.02315516504026873,-0.049..+0.001,-2038.2114259570105,-0.016903149107580992,39,50878.953301764195,358,0.002651512896936436,-0.041..+0.008,-0.015138919130176353,69,-0.165..+0.146
"(0.9, 1.0]",359,0.9378074086541782,0.947075208913649,0.009267800259470826,0.009887677332160168,-0.017..+0.033,-0.0017012491470031173,-0.0033650038167398625,-0.029..+0.019,-61.07484437741191,0.0027056420473385635,35,16062.27735330606,107,0.009444383945831133,-0.026..+0.029,-0.18058065240126608,36,-0.550..+0.233
