kind,games,avg_fav_price,fav_win_rate,gap_win_minus_price,roi_no_fee_no_slip,roi_no_fee_ci,roi_actual_fee_1c,roi_5pct_fee_1c,roi_5pct_ci,pnl_$100_per_game_actual_fee,fav_roi_at_ask_actual_fee,fav_unfilled,fav_proxy_stake_usd,fav_full_100_fills,fav_partial_proxy_roi,fav_at_ask_ci,underdog_roi_at_ask_actual_fee,dog_unfilled,underdog_at_ask_ci
3-way (draw loses),2798,0.5559556459291637,0.5532523230879199,-0.0027033228412437493,-0.005958093384894862,-0.040..+0.030,-0.03381279138433016,-0.04529401262988386,-0.078..-0.012,-9460.819029335578,-0.023315133300547092,32,102257.16954181866,611,-0.031173820660709485,-0.056..+0.012,,0,
two-way,11999,0.6449669985178723,0.6349695807983998,-0.00999741771947249,-0.017818447498528726,-0.032..-0.004,-0.038887237778324875,-0.04948236130409656,-0.063..-0.036,-46660.79661021202,-0.03213567674262359,323,510828.48117464886,3442,-0.03189631405248964,-0.046..-0.018,-0.00481380026470974,470,-0.032..+0.025
