model,period,rule,cost,signals,bets,unfilled,partial,roi,ci_lo,ci_hi,capital_usd,pnl_usd,win,avg_q,avg_fee_rate,first_print_usd,window_cap_usd,median_window_cap_usd
frozen_round1,holdout,primary_thr0.04,fee,60,59,1,53.0,-0.1787,-0.7348,0.4613,1235.6862356366253,-220.84230643673303,0.22033898305084745,0.21796906779661016,0.04796610169491524,9077.596051775548,9077.596051775548,6.8699994564056395
frozen_round1,holdout,primary_thr0.04,fee_plus_1c,60,59,1,53.0,-0.2137,-0.7401,0.4006,1269.3815566256676,-271.3256135480677,0.22033898305084745,0.21796906779661016,0.04796610169491524,9077.596051775548,9077.596051775548,6.8699994564056395
frozen_round1,holdout,a_thr0.03,fee,82,81,1,74.0,0.2413,-0.3706,0.917,1533.448879584604,369.9562650734346,0.25925925925925924,0.20591066666666671,0.04802469135802469,9515.598346243783,9515.598346243783,5.94
frozen_round1,holdout,a_thr0.03,fee_plus_1c,82,81,1,74.0,0.1858,-0.3981,0.8345,1578.619224659642,293.3481322364918,0.25925925925925924,0.20591066666666671,0.04802469135802469,9515.598346243783,9515.598346243783,5.94
frozen_round1,holdout,a_thr0.06,fee,22,21,1,21.0,0.5748,-0.5553,1.8714,136.9242350010014,78.70916114768025,0.3333333333333333,0.19381833333333334,0.04809523809523811,132.01338698791503,132.01338698791503,4.9999996948242185
frozen_round1,holdout,a_thr0.06,fee_plus_1c,22,21,1,21.0,0.4969,-0.5761,1.7359,144.05366478309566,71.579731365586,0.3333333333333333,0.19381833333333334,0.04809523809523811,132.01338698791503,132.01338698791503,4.9999996948242185
frozen_round1,holdout,b_mirror_buyL_thr0.04,fee,225,225,0,200.0,0.0425,-0.1358,0.2126,6007.606390369952,255.4310085523545,0.6533333333333333,0.6135832399999999,0.04813333333333334,21718.473690196148,21718.473690196148,9.999999618530273
frozen_round1,holdout,b_mirror_buyL_thr0.04,fee_plus_1c,225,225,0,200.0,0.0242,-0.1499,0.1904,6064.604099380367,146.92804819813304,0.6533333333333333,0.6135832399999999,0.04813333333333334,21718.473690196148,21718.473690196148,9.999999618530273
frozen_round1,holdout,d_placebo_buyT,fee,246,245,1,219.0,-0.3178,-0.584,-0.0001,5511.564659253529,-1751.6900114316522,0.24489795918367346,0.2956821346938776,0.04885714285714287,22717.397305840885,22717.397305840885,6.8699994564056395
frozen_round1,holdout,d_placebo_buyT,fee_plus_1c,246,245,1,219.0,-0.3393,-0.5948,-0.0353,5632.179873473135,-1911.1406374734152,0.24489795918367346,0.2956821346938776,0.04885714285714287,22717.397305840885,22717.397305840885,6.8699994564056395
frozen_round1,holdout,d_placebo_mirror_buyL,fee,12,12,0,11.0,-0.1601,-0.6964,0.2698,348.8609326052232,-55.855421708174624,0.5,0.5994569166666667,0.04666666666666667,345.2425373918304,345.2425373918304,12.625
frozen_round1,holdout,d_placebo_mirror_buyL,fee_plus_1c,12,12,0,11.0,-0.1746,-0.7032,0.2534,353.4961341030286,-61.70667646637855,0.5,0.5994569166666667,0.04666666666666667,345.2425373918304,345.2425373918304,12.625
frozen_round1,holdout,x_crossfit_primary,fee,0,0,0,,,,,,,,,,,,
frozen_round1,holdout,x_crossfit_primary,fee_plus_1c,0,0,0,,,,,,,,,,,,
frozen_round1,holdout,x_crossfit_mirror,fee,0,0,0,,,,,,,,,,,,
frozen_round1,holdout,x_crossfit_mirror,fee_plus_1c,0,0,0,,,,,,,,,,,,
frozen_round1,holdout,x_all_trailers_no_signal,fee,668,664,4,593.0,-0.2485,-0.4284,-0.0587,15306.246180214517,-3803.749518171833,0.24096385542168675,0.26105302259036145,0.048554216867469885,49555.12932838875,49555.12932838875,6.1926000213623045
frozen_round1,holdout,x_all_trailers_no_signal,fee_plus_1c,668,663,5,586.0,-0.2773,-0.4508,-0.0872,15625.52268350833,-4332.806427933277,0.2398190045248869,0.2599429969834087,0.04855203619909502,49500.70309823663,49500.70309823663,6.18520004272461
frozen_round1,holdout,x_all_leaders_no_signal,fee,668,664,4,556.0,-0.0198,-0.0922,0.0458,21441.26710374237,-425.27639887771886,0.7590361445783133,0.7494145903614458,0.0485843373493976,120100.88875884606,120100.88875884606,14.47895040512085
frozen_round1,holdout,x_all_leaders_no_signal,fee_plus_1c,668,662,6,554.0,-0.0327,-0.1013,0.0315,21571.512366456755,-705.4362382502986,0.7583081570996979,0.7486817039274924,0.04858006042296072,120090.94275983908,120090.94275983908,14.59575029373169
frozen_round1,holdout,s_primary_entry_next_print_nocap,fee,60,60,0,54.0,-0.1686,-0.7125,0.4939,1237.7722354774762,-208.64259308178316,0.23333333333333334,0.21666958333333333,0.04799999999999998,9079.59605162296,9079.59605162296,6.40499972820282
frozen_round1,holdout,s_primary_entry_next_print_nocap,fee_plus_1c,60,60,0,54.0,-0.2039,-0.7219,0.4271,1271.615485026661,-259.27382875326026,0.23333333333333334,0.21666958333333333,0.04799999999999998,9079.59605162296,9079.59605162296,6.40499972820282
frozen_round1,holdout,s_primary_entry_quote_all,fee,60,0,60,0.0,,,,0.0,0.0,,,,0.0,0.0,
frozen_round1,holdout,s_primary_entry_quote_all,fee_plus_1c,60,0,60,0.0,,,,0.0,0.0,,,,0.0,0.0,
frozen_round1,holdout,s_mirror_entry_next_print_nocap,fee,225,225,0,200.0,0.0425,-0.1358,0.2126,6007.606390369952,255.4310085523545,0.6533333333333333,0.6135832399999999,0.04813333333333334,21718.473690196148,21718.473690196148,9.999999618530273
frozen_round1,holdout,s_mirror_entry_next_print_nocap,fee_plus_1c,225,225,0,200.0,0.0242,-0.1499,0.1904,6064.604099380367,146.92804819813304,0.6533333333333333,0.6135832399999999,0.04813333333333334,21718.473690196148,21718.473690196148,9.999999618530273
frozen_round1,holdout,s_mirror_entry_quote_all,fee,225,0,225,0.0,,,,0.0,0.0,,,,0.0,0.0,
frozen_round1,holdout,s_mirror_entry_quote_all,fee_plus_1c,225,0,225,0.0,,,,0.0,0.0,,,,0.0,0.0,
exploratory_round2,dev,primary,fee,89,89,0,79.0,1.0067,-0.1593,2.6142,1916.1088749001258,1928.912511699413,0.3595505617977528,0.24183401123595505,0.020898876404494383,8241.055418752683,8241.055418752683,5.67
exploratory_round2,dev,primary,fee_plus_1c,89,89,0,77.0,0.8532,-0.1859,2.2223,1946.2719131351562,1660.6054164539332,0.3595505617977528,0.24183401123595505,0.020898876404494383,8241.055418752683,8241.055418752683,5.67
exploratory_round2,dev,mirror,fee,380,380,0,306.0,0.0362,-0.0781,0.1456,13158.67056705863,476.60606246035684,0.6842105263157895,0.6290869394736842,0.01831578947368421,97490.85355424767,97490.85355424767,14.074949569702149
exploratory_round2,dev,mirror,fee_plus_1c,380,380,0,302.0,0.0211,-0.0912,0.1283,13249.939991822019,279.79732984756265,0.6842105263157895,0.6290869394736842,0.01831578947368421,97490.85355424767,97490.85355424767,14.074949569702149
exploratory_round2,holdout,primary,fee,53,52,1,48.0,0.3098,-0.4783,1.1544,965.6874457979078,299.1564834019845,0.2692307692307692,0.20407678846153846,0.0473076923076923,7595.642044886127,7595.642044886127,6.595
exploratory_round2,holdout,primary,fee_plus_1c,53,52,1,48.0,0.2533,-0.4962,1.0581,995.8019670170529,252.25397606054733,0.2692307692307692,0.20407678846153846,0.0473076923076923,7595.642044886127,7595.642044886127,6.595
exploratory_round2,holdout,mirror,fee,230,230,0,203.0,0.0526,-0.1159,0.2122,6275.583462323191,330.17451558218664,0.6608695652173913,0.6170675043478261,0.04817391304347827,23367.21051333769,23367.21051333769,10.324999847412109
exploratory_round2,holdout,mirror,fee_plus_1c,230,230,0,203.0,0.0344,-0.1305,0.19,6333.414607578125,217.66846278755253,0.6608695652173913,0.6170675043478261,0.04817391304347827,23367.21051333769,23367.21051333769,10.324999847412109
